,Price,Airline,flyTo,cityTo,fare_family,fare_classes,cityFrom,local_departure,local_arrival,distance,bags_price,flight_no
3629,209,['UA'],LGA,New York,,W,Chicago,2019-06-08T14:00:00.000Z,2019-06-08T17:09:00.000Z,1178.35,22,509
3630,209,['UA'],LGA,New York,,W,Chicago,2019-06-08T12:30:00.000Z,2019-06-08T15:42:00.000Z,1178.35,22,5364
3631,213,['NK'],LGA,New York,,H,Chicago,2019-06-08T05:51:00.000Z,2019-06-08T09:01:00.000Z,1178.35,37,224
3632,213,['NK'],LGA,New York,,H,Chicago,2019-06-08T17:44:00.000Z,2019-06-08T21:00:00.000Z,1178.35,37,630
3633,209,['UA'],LGA,New York,,W,Chicago,2019-06-09T09:00:00.000Z,2019-06-09T12:03:00.000Z,1178.35,22,910
3634,209,['UA'],LGA,New York,,W,Chicago,2019-06-09T07:00:00.000Z,2019-06-09T10:08:00.000Z,1178.35,22,393
3635,211,['DL'],LGA,New York,,,Chicago,2019-06-09T20:30:00.000Z,2019-06-10T00:01:00.000Z,1178.35,25,2689
3636,211,['DL'],LGA,New York,,,Chicago,2019-06-09T19:30:00.000Z,2019-06-09T23:01:00.000Z,1178.35,25,315
3637,211,['DL'],LGA,New York,,,Chicago,2019-06-09T18:30:00.000Z,2019-06-09T22:03:00.000Z,1178.35,25,338
3638,213,['UA'],LGA,New York,,,Chicago,2019-06-09T13:00:00.000Z,2019-06-09T16:05:00.000Z,1178.35,22,682
3639,213,['UA'],LGA,New York,,,Chicago,2019-06-09T10:00:00.000Z,2019-06-09T13:07:00.000Z,1178.35,22,1499
3640,213,['UA'],LGA,New York,,,Chicago,2019-06-09T07:30:00.000Z,2019-06-09T10:39:00.000Z,1178.35,22,427
3641,213,['NK'],LGA,New York,,H,Chicago,2019-06-09T05:51:00.000Z,2019-06-09T09:01:00.000Z,1178.35,37,224
3642,213,['UA'],LGA,New York,,,Chicago,2019-06-09T12:00:00.000Z,2019-06-09T15:11:00.000Z,1178.35,22,1741
